ZIP CODE,STATE,MSA1,MSA2,MSA3
210,NH,Boston,Cambridge,Quincy
211,NH,Boston,Cambridge,Quincy
212,NH,Boston,Cambridge,Quincy
213,NH,Boston,Cambridge,Quincy
214,NH,Boston,Cambridge,Quincy
215,NH,Boston,Cambridge,Quincy
501,NY,New York,Northern New Jersey,Long Island
544,NY,New York,Northern New Jersey,Long Island
601,PR,PR NONMETROPOLITAN AREA,,
602,PR,Aguadilla,Isabela,San Sebastian
603,PR,Aguadilla,Isabela,San Sebastian
604,PR,Aguadilla,Isabela,San Sebastian
605,PR,Aguadilla,Isabela,San Sebastian
606,PR,PR NONMETROPOLITAN AREA,,
610,PR,Aguadilla,Isabela,San Sebastian
611,PR,PR NONMETROPOLITAN AREA,,
612,PR,San Juan,Caguas,Guaynabo
613,PR,San Juan,Caguas,Guaynabo
614,PR,San Juan,Caguas,Guaynabo
616,PR,San Juan,Caguas,Guaynabo
617,PR,San Juan,Caguas,Guaynabo
622,PR,San German,Cabo Rojo,
623,PR,San German,Cabo Rojo,
624,PR,Yauco,,
627,PR,San Juan,Caguas,Guaynabo
631,PR,Aguadilla,Isabela,San Sebastian
636,PR,San German,Cabo Rojo,
637,PR,San German,Cabo Rojo,
638,PR,San Juan,Caguas,Guaynabo
641,PR,PR NONMETROPOLITAN AREA,,
646,PR,San Juan,Caguas,Guaynabo
647,PR,Yauco,,
650,PR,San Juan,Caguas,Guaynabo
652,PR,San Juan,Caguas,Guaynabo
653,PR,Yauco,,
656,PR,Yauco,,
659,PR,San Juan,Caguas,Guaynabo
660,PR,Mayaguez,,
662,PR,Aguadilla,Isabela,San Sebastian
664,PR,PR NONMETROPOLITAN AREA,,
667,PR,San German,Cabo Rojo,
669,PR,Aguadilla,Isabela,San Sebastian
670,PR,PR NONMETROPOLITAN AREA,,
674,PR,San Juan,Caguas,Guaynabo
676,PR,Aguadilla,Isabela,San Sebastian
677,PR,Aguadilla,Isabela,San Sebastian
678,PR,San Juan,Caguas,Guaynabo
680,PR,Mayaguez,,
681,PR,Mayaguez,,
682,PR,Mayaguez,,
683,PR,San German,Cabo Rojo,
685,PR,Aguadilla,Isabela,San Sebastian
687,PR,San Juan,Caguas,Guaynabo
688,PR,San Juan,Caguas,Guaynabo
690,PR,Aguadilla,Isabela,San Sebastian
692,PR,San Juan,Caguas,Guaynabo
693,PR,San Juan,Caguas,Guaynabo
